INFO 2025-01-20 10:18:17,627 autoreload Watching for file changes with StatReloader
DEBUG 2025-01-20 10:18:17,627 autoreload Waiting for apps ready_event.
DEBUG 2025-01-20 10:18:17,669 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-01-20 10:18:17,720 autoreload Watching dir /media/asus/Data/sellar/sellar_onboarding/sellar/templates with glob **/*.
DEBUG 2025-01-20 10:18:17,720 autoreload Watching dir /media/asus/Data/sellar/sellar_onboarding/locale with glob **/*.mo.
DEBUG 2025-01-20 10:18:17,720 autoreload Watching dir /media/asus/Data/sellar/sellar_onboarding/sellar/locale with glob **/*.mo.
DEBUG 2025-01-20 10:18:17,805 utils (0.002) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2025-01-20 10:18:17,815 utils (0.003) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-01-20 10:18:17,862 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/db/transaction.py first seen with mtime 1728798743.15664
DEBUG 2025-01-20 10:18:17,863 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/db/models/sql/constants.py first seen with mtime 1728798743.1806402
DEBUG 2025-01-20 10:18:17,863 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/signal.py first seen with mtime 1715025274.9483273
DEBUG 2025-01-20 10:18:17,863 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/core/mail/utils.py first seen with mtime 1728798743.14464
DEBUG 2025-01-20 10:18:17,863 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/importlib/_abc.py first seen with mtime 1715025275.3363194
DEBUG 2025-01-20 10:18:17,863 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/fractions.py first seen with mtime 1715025274.8843284
DEBUG 2025-01-20 10:18:17,863 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/contrib/admin/utils.py first seen with mtime 1728798742.560637
DEBUG 2025-01-20 10:18:17,864 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/db/migrations/executor.py first seen with mtime 1728798743.1686401
DEBUG 2025-01-20 10:18:17,864 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/heapq.py first seen with mtime 1715025274.8963282
DEBUG 2025-01-20 10:18:17,864 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/lib-dynload/_ssl.cpython-310-x86_64-linux-gnu.so first seen with mtime 1715025287.260079
DEBUG 2025-01-20 10:18:17,864 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/hmac.py first seen with mtime 1715025274.8963282
DEBUG 2025-01-20 10:18:17,864 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/db/models/expressions.py first seen with mtime 1728798743.1726403
DEBUG 2025-01-20 10:18:17,864 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/utils/dates.py first seen with mtime 1728798743.2166405
DEBUG 2025-01-20 10:18:17,866 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/contrib/sessions/middleware.py first seen with mtime 1728798743.0486395
DEBUG 2025-01-20 10:18:17,866 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/utils/cache.py first seen with mtime 1728798743.2126405
DEBUG 2025-01-20 10:18:17,866 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/db/migrations/operations/special.py first seen with mtime 1728798743.1686401
DEBUG 2025-01-20 10:18:17,866 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/contrib/staticfiles/management/commands/runserver.py first seen with mtime 1728798743.13664
DEBUG 2025-01-20 10:18:17,866 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/forms/__init__.py first seen with mtime 1728798743.1806402
DEBUG 2025-01-20 10:18:17,867 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/conf/global_settings.py first seen with mtime 1728798742.4406364
DEBUG 2025-01-20 10:18:17,867 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/core/serializers/json.py first seen with mtime 1728798743.15264
DEBUG 2025-01-20 10:18:17,867 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/urls/exceptions.py first seen with mtime 1728798743.2126405
DEBUG 2025-01-20 10:18:17,867 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/sqlparse/filters/others.py first seen with mtime 1721715677.5786037
DEBUG 2025-01-20 10:18:17,867 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/logging/__init__.py first seen with mtime 1715025275.4363174
DEBUG 2025-01-20 10:18:17,867 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/sqlparse/filters/tokens.py first seen with mtime 1721715677.6386042
DEBUG 2025-01-20 10:18:17,867 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/_collections_abc.py first seen with mtime 1715025274.8643289
DEBUG 2025-01-20 10:18:17,868 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/codecs.py first seen with mtime 1715025274.8643289
DEBUG 2025-01-20 10:18:17,868 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/email/contentmanager.py first seen with mtime 1715025275.104324
DEBUG 2025-01-20 10:18:17,868 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/urllib/response.py first seen with mtime 1715025275.5283155
DEBUG 2025-01-20 10:18:17,868 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/gzip.py first seen with mtime 1715025274.8923283
DEBUG 2025-01-20 10:18:17,868 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/threading.py first seen with mtime 1715025274.9723268
DEBUG 2025-01-20 10:18:17,868 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/lib-dynload/_opcode.cpython-310-x86_64-linux-gnu.so first seen with mtime 1715025288.052063
DEBUG 2025-01-20 10:18:17,868 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/email/_parseaddr.py first seen with mtime 1715025275.1123238
DEBUG 2025-01-20 10:18:17,869 autoreload File /media/asus/Data/sellar/sellar_onboarding/manage.py first seen with mtime 1737359175.126981
DEBUG 2025-01-20 10:18:17,869 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/lib-dynload/_posixsubprocess.cpython-310-x86_64-linux-gnu.so first seen with mtime 1715025288.4400551
DEBUG 2025-01-20 10:18:17,869 autoreload File /media/asus/Data/sellar/sellar_onboarding/sellar/urls.py first seen with mtime 1737363131.4541588
DEBUG 2025-01-20 10:18:17,869 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/core/checks/async_checks.py first seen with mtime 1728798743.14064
DEBUG 2025-01-20 10:18:17,869 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/graphlib.py first seen with mtime 1715025274.8923283
DEBUG 2025-01-20 10:18:17,870 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/asyncio/exceptions.py first seen with mtime 1715025275.0003262
DEBUG 2025-01-20 10:18:17,870 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/db/models/fields/related_lookups.py first seen with mtime 1728798743.1766403
DEBUG 2025-01-20 10:18:17,870 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/apps/config.py first seen with mtime 1728798742.4406364
DEBUG 2025-01-20 10:18:17,870 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/core/files/images.py first seen with mtime 1728798743.14464
DEBUG 2025-01-20 10:18:17,870 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/db/migrations/utils.py first seen with mtime 1728798743.1686401
DEBUG 2025-01-20 10:18:17,870 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/encodings/utf_8.py first seen with mtime 1715025275.2323215
DEBUG 2025-01-20 10:18:17,871 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/importlib/machinery.py first seen with mtime 1715025275.344319
DEBUG 2025-01-20 10:18:17,871 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/template/autoreload.py first seen with mtime 1728798743.2006404
DEBUG 2025-01-20 10:18:17,871 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/colorama/win32.py first seen with mtime 1722570575.7590659
DEBUG 2025-01-20 10:18:17,871 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/concurrent/futures/_base.py first seen with mtime 1715025275.0243256
DEBUG 2025-01-20 10:18:17,871 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/email/encoders.py first seen with mtime 1715025275.104324
DEBUG 2025-01-20 10:18:17,871 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/pprint.py first seen with mtime 1715025274.9283276
DEBUG 2025-01-20 10:18:17,871 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/email/policy.py first seen with mtime 1715025275.1163237
DEBUG 2025-01-20 10:18:17,872 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/zoneinfo/__init__.py first seen with mtime 1715025275.5803144
DEBUG 2025-01-20 10:18:17,872 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/dispatch/__init__.py first seen with mtime 1728798743.1806402
DEBUG 2025-01-20 10:18:17,872 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/core/checks/registry.py first seen with mtime 1728798743.14064
DEBUG 2025-01-20 10:18:17,872 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/sqlparse/filters/output.py first seen with mtime 1721715677.5866039
DEBUG 2025-01-20 10:18:17,872 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/contrib/admin/options.py first seen with mtime 1728798742.560637
DEBUG 2025-01-20 10:18:17,872 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/views/generic/__init__.py first seen with mtime 1728798743.2246406
DEBUG 2025-01-20 10:18:17,872 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/ctypes/__init__.py first seen with mtime 1715025275.0323255
DEBUG 2025-01-20 10:18:17,872 autoreload File /home/asus/anaconda3/envs/myenv/lib/python3.10/site-packages/django/utils/dateparse.py first seen with mtime 1728798743.2166405
